id,body,picture,actor,module,type,time,likes
1,Me and my bestie taking a selfie together<3,bestieselfielove.jpeg,ella_vaderrr,cyberbullying,neutral ,-2:01,
2,My siblings are so cuteeeeeee,cutesiblings.jpg,Claire.cuddlybear,cyberbullying,neutral ,-0:16,
4,"No one likes you. Why do you come to school? @<a href=""https://test.learnlove.life/user/DylanCrazzzzzy"">Dylan Goldstein</a>",blackbkg.jpg,ella_vaderrr,cyberbullying,negative,-1:15,
5,Dylan smells like he didn't shower for a week,ewww.jpg,goaliegirl,cyberbullying,negative,-1:01,
7,I don't want to go to school anymore. Everybody hates me.,heartbroken.jpg,DylanCrazzzzzy,cyberbullying,negative,-0:42,
8,Just got back from church with my best friend,churchbestfriends.jpg,morning-tea-and-books,cyberbullying,neutral ,-1:39,
9,So excited for winter break!,winterbreak.jpg,arihearts,cyberbullying,neutral ,-1:36,
10,great nite with my boys!!!!! haha Carter looks stupid in this pic ,sillypic.jpg,cool.kid5386,cyberbullying,neutral ,-1:33,
11,omg lollll look at Dylanâ€™s sketchbook heâ€™s such a nerdddd,dylansketchbook.jpeg,memeking,cyberbullying,negative,-1:59,
12,my math teacher is SO NOT CHILL,teacheremoji.jpg,neenz03,cyberbullying,neutral ,-1:27,
13,back of the bus crewwwwwww only losers sit in the front ahhah,backofthebus.jpg,ryguy76,cyberbullying,negative,-1:24,
14,had such a fun day at the beach! ,sunsetbeach.jpg,unicornsparkle,cyberbullying,neutral ,-1:21,
15,"You looks so dumb in this pic @<a href=""https://test.learnlove.life/user/aaahhh"">Aidan Acosta</a>",groupphoto.jpg,goaliegirl,cyberbullying,negative,-1:18,
17,My dog is sooo cute!!!,cute_dog.jpg,arihearts,cyberbullying,neutral ,-1:12,
20,What a cool picture of our theater! Anyone want to go to the movies tomorrow? :D,coolmovies.jpeg,DylanCrazzzzzy,cyberbullying,neutral ,-1:03,
22,Turning 12 ğŸ‰,birthdaypic.jpg,dannyboii,cyberbullying,neutral ,-0:57,
24,reading harry potter for the millionth time :),harrypotter.jpg,morning-tea-and-books,cyberbullying,neutral,-0:51,
26,who wants to hang today???,cool.png,bffz986,cyberbullying,neutral,-0:45,
27,we hangin listening to tay swift,tswift.jpg,sassystar75,cyberbullying,neutral,-0:42,
28,so bored ;) :P,bored.jpg,sassystar75,cyberbullying,neutral,-0:39,
29,Guys should I start a YouTube channel?,youtube.jpg,vkemp02,cyberbullying,neutral,-0:36,
30,Be yourself,beyourself.jpg,jasmine_1110,cyberbullying,neutral,-0:33,
31,I love California ğŸ’– ,casunset.jpg,neenz03,cyberbullying,neutral,-0:30,
32,can't wait for Christmas this year ,christmas.jpg,ella_vaderrr,cyberbullying,neutral,-0:27,
34,Demi Lovato is my #wcw,demilovato.jpg,sammi_bautistaxx,cyberbullying,neutral,-0:21,
35,Football season is almost over...,footballseason.jpg,jake_is_awesome15,cyberbullying,neutral,-0:18,
36,Heading to Disneyland this weekend. Soooooo excited!!,disneyland.jpg,dyliegirlll,cyberbullying,neutral,-0:15,
38,yankee game!!!!!! GO YANKS,yankees.jpg,soccergirl16,cyberbullying,neutral,-0:09,
39,after the rain...,u5p2.jpg,kilani244,cyberbullying,neutral,-0:06,
104,"""We dance for hopes... we create the dreams"" -Einstein",u3p2.jpeg,cloe.htt,presentation,neutral,-2:01,
105,#summer #rain,u4p1.jpg,habbey113,presentation,neutral,-1:57,
107,beach life,u5p1.jpg,kilani244,presentation,neutral,-1:54,
109,spending the last days of summer here...,u6p1.jpeg,ellis_06,presentation,neutral,-1:51,
211,YUMMM got to go with Dad to Costco today ğŸŒ¶ğŸğŸğŸ•ğŸŒ­ğŸŸğŸ¥™,reciept.jpg,rosie_pris,presentation,bad,-1:48,
159,#TBT with the boys,boyspic.jpg,asherballer,presentation,neutral,-1:45,
111,escpaing the city for a bit,u7p1.jpg,l.wakefield17,presentation,neutral,-1:42,
114,getting back into drawing. plz reply w/ critiques (i'm thick-skinned i swear),orange_drawing.jpeg,kitty.z,presentation,neutral,-1:39,
115,ayyy lmao snuck into my bro's LAN party,LAN_Party.jpg,frank-the-best,presentation,neutral,-1:36,
117,lemme try to fry an egg on the sidewalk,egg_on_sidewalk.jpeg,aaahhh,presentation,neutral,-1:33,
123,#internationaldanceday,ballet.jpg,triple-threat,presentation,neutral,-1:27,
124,the usual,starbucks.jpg,m-beckett,presentation,neutral,-1:24,
110,Oceana,u6p2.jpeg,ellis_06,presentation,neutral,-1:21,
125,doggo,Puppy.jpg,ethan-the-man,presentation,neutral,-1:18,
176,Missing summer ğŸŒ,missingsummer.jpg,mel_williams1314,presentation,neutral,-1:15,
136,Family weekend at the beach:) #thankful,post36.jpg,yrollam_htims,presentation,neutral,-1:12,
198,Dad let me borrow his card for the mall. Shopping anyone?,card.jpg,cool.kid5386,presentation,bad,-1:09,
137,experimenting... #sparkle #makeup #pretty,post37.jpg,unicornsparkle,presentation,neutral,-1:06,
138,peek-a-boo #cats #catsofinstagram,post38.jpg,princess_lindss,presentation,neutral,-1:03,
139,home made mac and cheese....mmmmm,post39.jpg,king_corey,presentation,neutral,-1:01,
199,"321 Jefferson Ave come hang out guys, I'm bored.",house.jpg,jasmine_1110,presentation,bad,-0:57,
141,got super bored in class today... :p,post41.jpg,itsmelucy,presentation,neutral,-0:54,
142,#mondaypunday your welcome,post42.jpg,beachmoreworryless,presentation,neutral,-0:51,
143,shoutout to these girls! <3 ya!,post43.jpg,goaliegirl,presentation,neutral,-0:48,
106,Visiting university!,u4p2.jpg,habbey113,presentation,neutral,-0:45,
144,maggie you did so good today #proud #bff,post44.jpg,im_musicool,presentation,neutral,-0:42,
205,Thanks for buying me these limited-edition shoes! Feeling blessed â¤ï¸,shoes.jpg,vkemp02,presentation,bad,-0:39,
145,all mine. don't touch. ,post45.jpg,memeking,presentation,neutral,-0:36,
151,ugh school,post50.jpg,candyqueen67,presentation,neutral,-0:33,
154,#TBT hockey prac ,post54.jpg,Nick_Thomas,presentation,neutral,-0:30,
156,starbucks with my girls!!!! ,starbucks.jpg,dyliegirlll,presentation,neutral,-0:27,
157,beach with my family.  love them ,beach.jpg,soccergirl16,presentation,neutral,-0:24,
200,She's always dumb like this ğŸ™„,texting.jpg,mel_williams1314,presentation,bad,-0:21,
112,Stroll through Battery,u7p2.JPG,l.wakefield17,presentation,neutral,-0:18,
193,"if you didnt know, I take selfies a lot ",littlegirlselfie.jpg,dyliegirlll,presentation,neutral,-0:15,
162,movies w/ the boys ,movies.jpg,asherballer,presentation,neutral,-0:12,
210,"OMG I am so annoyed at my mom. I just can't believe she won't let me go to Jessica's house later. Jess, don't have too much fun without me :(",friends.jpg,jake_is_awesome15,presentation,bad,-0:09,
166,got a pet budgie! Isnâ€™t he SO CUTE!?! ğŸ˜ You guys have any name ideas,budgie.jpg,emememily,presentation,neutral,-0:06,
168,playing minecraft,playing_minecraft.jpg,mine-craft313,presentation,neutral,-0:03,
262,This is wild,real_6,bffz986,digital-literacy,neutral,-2:01,
263,had the best day w my friends at six flags ,six_flags.jpeg,cupcake25,digital-literacy,neutral,-1:57,
251,Just read this story and I'm so mad now ,clickbait_1,vkemp02,digital-literacy,neutral,-1:54,
264,Hit Solana beach today with the fam ,flops1.jpeg,jeremymurr,digital-literacy,neutral,-1:51,
265,I love my dog<3,dog.JPG,cupcake25,digital-literacy,neutral,-1:48,
266,watched 100 eps of anime this month. New record whoop,anime.png,dannyboii,digital-literacy,neutral,-1:45,
257,Lmk if this sounds good it's for my bio project,real_1.jpg,gracieeeeee82,digital-literacy,neutral,-1:42,
267,~insert clever meme here~ me: wow I'm so witty *cries*,meme1.jpg,"
Gr8Scott77",digital-literacy,neutral,-1:39,
268,My little bro is sooo annoying,prank.jpg,bball_guy,digital-literacy,neutral,-1:36,
252,What do you think guys? Should I check it out?,clickbait_2.jpg,jasmine_1110,digital-literacy,neutral,-1:33,
269,Be yourself,girl2.jpg,jasmine_1110,digital-literacy,neutral,-1:30,
270,I wish I could drive already!!,driving.jpg,emmaaaaa,digital-literacy,neutral,-1:27,
271,"Just posted my new beauty vid on youtube! Kinda overdone, but itâ€™s a daily makeup routine. Check it out pls <3",makeup.jpg,rosie_pris,digital-literacy,neutral,-1:24,
258,Thank gosh I'm on the basketball team ,real_2.jpg,asherballer,digital-literacy,neutral,-1:21,
272,drinking tea!!!,tea.jpg,morning-tea-and-books,digital-literacy,neutral,-1:18,
273,got a new phone! plz reply to this msg if u want my new # ,rosegold.png,kitty.z,digital-literacy,neutral,-1:15,
274,#cheer competition tomorrow!,cheer.jpg,kilani244,digital-literacy,neutral,-1:12,
253,No way I thought it was just a random name lol,clickbait_3.jpg,triple-threat,digital-literacy,neutral,-1:09,
275,#TBT with the boys,boyspic.jpg,asherballer,digital-literacy,neutral,-1:06,
276,Come out to my dance recital tomorrow! It's at 7,dance.jpg,sammi_bautistaxx,digital-literacy,neutral,-1:03,
259,That would be one big bathtub,real_3.jpg,beachmoreworryless,digital-literacy,neutral,-1:01,
277,Lol!!!!!,post83.jpg,cool.kid5386,digital-literacy,neutral,-0:57,
278,cmoonnnn cavs #23 #lebron ,cavs.jpg,nick_Thomas,digital-literacy,neutral,-0:54,
279,lets go jets we got this babbyyyyyyyy ,football1.jpg,king_corey,digital-literacy,neutral,-0:51,
254,Sooo who is gonna go buy me McDonalds before this test?,clickbait_4.jpg,itsmelucy,digital-literacy,neutral,-0:48,
280,#cheer competition tomorrow!,cheer.jpg,kilani244,digital-literacy,neutral,-0:45,
281,doggo,Puppy.jpg,ethan-the-man,digital-literacy,neutral,-0:42,
260,News flash guys,real_4.jpg,arihearts,digital-literacy,neutral,-0:39,
282,Missing summer ğŸŒ,missingsummer.jpg,mel_williams1314,digital-literacy,neutral,-0:36,
283,Family weekend at the beach:) #thankful,post36.jpg,yrollam_htims,digital-literacy,neutral,-0:33,
255,RT to save a short person's life xD,clickbait_5.jpg,soccergirl16,digital-literacy,neutral,-0:30,
284,got a pet budgie! Isnâ€™t he SO CUTE!?! ğŸ˜ You guys have any name ideas,budgie.jpg,emememily,digital-literacy,neutral,-0:27,
285,playing minecraft,playing_minecraft.jpg,mine-craft313,digital-literacy,neutral,-0:24,
286,Road Trippin ,Roadtrip.jpg,jasmine_1110,digital-literacy,neutral,-0:21,
261,And I thought Mr. Radcliffe gave a lot of homework...,real_5.jpg,elena_and,digital-literacy,neutral,-0:18,
287,Hi there,u3p1.jpg,cloe.htt,digital-literacy,neutral,-0:15,
288,I love nature,ilovenature.jpg,peytonpope_xx,digital-literacy,neutral,-0:12,
289,yankee game!!!!!! GO YANKS,yankee.jpg,soccergirl16,digital-literacy,neutral,-0:09,
256,I always just licked the frosting off lol,clickbait_6.jpg,emememily,digital-literacy,neutral,-0:06,
290,after the rain...,u5p2.jpg,kilani244,digital-literacy,neutral,-0:03,
301,Why do I suck at foosball :( ,foosball.jpg,bball_guy,likes,relevant,-2:02,50
302,My lil bro has moves on the slopes,sledding.jpg,asherballer,likes,filler,-1:57,5
303,Bon apetite ğŸ½ğŸ¶,dog_in_kitchen.jpg,sam-I-am,likes,filler,-1:54,4
304,<3 jenny thx for bringing meğŸ¤ğŸ‘¯,celebconcert.jpg,rosie_pris,likes,relevant,-1:51,5
305,Hey now congradulations to my sister,sistergraduating.jpg,zachpeters06,likes,relevant,-1:48,3
306,hate sitting through this ceremony,graduation.jpg,zachpeters06,likes,filler,-1:45,50
307,happy birthday to my favorite guy ,pug.jpg,dyliegirllll,likes,filler,-1:42,70
308,my artwork hanging in the museum!!!,art_museum.jpg,neenz03,likes,relevant,-1:39,6
309,sister ballet recital hmu,ballet_recital.jpg,itsmelucy,likes,relevant,-1:36,5
311,Apple picking! ğŸğŸ can't wait to make some apple pie later ğŸ˜‹,apple_picking.jpg,princess_lindss,likes,filler,-1:30,10
312,so thankful to have been able to spend my breaking helping build homes for the less fortunate #volunteer #giveback,volunteering.jpg,sammi_bautistaxx,likes,relevant,-1:27,3
313,okay but fall is actually so pretty,leaves.jpg,sassystar75,likes,filler,-1:24,11
314,went to the zoo today and found out that pandas are my spirit animal ğŸ˜´,pandas.jpg,ryguy76,likes,filler,-1:21,9
315,farmers market flowers are sooooo pretty,flower_market.jpg,rosie_pris,likes,filler,-1:18,13
316,FREE ICE CREAM DAY,free_icecream.jpg,neenz03,likes,filler,-1:15,11
317,loves ğŸ’,silly_face.jpg,ella_vaderrr,likes,relevant,-1:12,100
318,take me back please,palm_trees.jpeg,emememily,likes,filler,-1:09,9
310,Happy birthday mom! Thanks for being so great :) P.S. I can't believe I was so LITTLE!,birthday.jpg,yrollam_htims,likes,relevant,-1:33,5
319,live love CHEER! Best team ever!,livelovecheer.JPG,l.wakefield17,likes,filler,-1:06,10
320,Breakfast time,avocado_toast.jpeg,numba_24,likes,filler,-1:03,9
321,life's pretty good ğŸ‘,thumbs_up.jpeg,mel_williams1314,likes,filler,-1:01,11
322,Rescued this little guy today. Welcome to your new home pup!,rescued-dogs.jpg,jeremymurr,likes,relevant,-0:57,2
323,Big game this weekend #playoffs,hockey.jpg,king_corey,likes,filler,-0:54,12
324,Hula time!,hulahoop.jpeg,emememily,likes,filler,-0:51,11
325,Doesnt get much better than this! #Yum,pie.jpg,emmaaaaa,likes,filler,-0:48,10
326,We all know who's prettier #me,girls.jpg,ella_vaderrr,likes,relevant,-0:45,25
327,Moneys the motivation,money.jpg,ethan-the-man,likes,filler,-0:42,10
328,Snowed mom! Hahaha,snowmom.jpg,jake_is_awesome15,likes,filler,-0:39,11
329,Ball is life ğŸ˜‹ #swish,ball.jpeg,hannahleee_23,likes,filler,-0:36,12
330,Loving life right now!,flowergirl.jpg,mel_williams1314,likes,filler,-0:33,10
331,Meme king strikes again ,meme.jpg,memeking,likes,filler,-0:30,11
332,Dancing makes me happy ğŸ˜‹,dance2.jpg,alexa.garcia,likes,filler,-0:27,12
333,YESSS new game!!,gamer.jpg,cool.kid5386,likes,filler,-0:24,11
334,Hollywood Walk of Fame!!!,walk_of_fame.jpg,im_musicool,likes,filler,-0:21,
335,Ithaca is going crazy again ğŸ˜¨,Ithaca.jpeg,cloe.htt,likes,filler,-0:18,8
336,Bon voyage!,luggage.jpg,mine-craft313,likes,filler,-0:15,10
337,Besties forever! â¤ï¸,besties.jpg,princess_lindss,likes,relevant,-0:12,133
338,Yayyy!,snowman.jpg,ryguy76,likes,filler,-0:09,7
339,His performance is amazing!!!!,yuzuru.jpg,im_musicool,likes,filler,-0:06,6
340,THE BEST BIRTHDAY EVER!!! Thank you guys ğŸ˜„,bestbirthday.jpg,frank-the-best,likes,relevant,-0:03,68
341,I hate math,hatemath.jpg,dannyboii,likes,filler,-0:23,3
342,Heading to Iceland next week! #excited #aurora,Iceland.jpg,joshradinnn,likes,filler,-0:37,9
343,Adorable museum!,museum.jpg,l.wakefield17,likes,filler,-0:43,6
344,Took a test on pottermore and got into Slytherin ğŸ˜‹,slytherin.jpg,ethan-the-man,likes ,filler,-0:55,10
345,My holiday balance is less than 3 days ğŸ˜¢,backtoschool.jpg,unicornsparkle,likes ,filler,-0:10,6
346,Seize the day â¤ï¸,sunset.jpeg,ellis_06,likes,filler,-0:22,7
347,Thanks for always being there for me #day1bestie,bestfriends.jpeg,slimebygabby,likes,filler,-0:38,6
348,When you can stop laughing at your bff's joke ğŸ˜‹,laughing.jpeg,zoe.g._,likes,filler,-0:34,13
349,TBT :) ,balloonkid.jpeg,sam-I-am,likes,filer,-1:43,12
350,Best pet everrrrrr,petturtle.jpeg,numba_24,likes,filler,-1:14,14
351,Haha might have painted myself a bit,painting.jpeg,zachpeters06,likes,filler,-1:28,16
352,Miss you grandma! <3,grandma.jpeg,yrollam_htims,likes,relevant,-1:01,4
353,I believe I can flyyyy,swings.jpeg,ryguy76,likes,filler,-1:55,9
354,Making bank :'),moneypic.jpeg,itsmelucy,likes,relevant,-0:31,30
355,Running from my haters #1stplace,running.jpeg,noahandherarc,likes,filler,-0:11,10
356,My first workout ever #getinshape,firstworkout.jpeg,joshradinnn,likes,filler,-0:56,9
357,Wish I was here instead of school #missthebeach,beachseason.jpeg,bey-hive-4eva,likes,filler,-0:58,10
358,Such a gamer lol don't tell my parents,kidgaming.jpeg,asherballer,likes,filler,-0:40,10
359,My mom's famous meat loaf and secret sauce!! ğŸ˜ ,yum.jpg,asherballer,likes,relevant,-1:20,73
360,~~,blank.jpg,king_corey,likes,relevant,-0:57,60
401,I saw the weirdest thing in my backyard this morning ğŸ˜³ Anyone ever seen this before??,caterpillar.jpg,dannyboii,image,relevant,-2:01,
402,found this while snooping around my grandma's house :),typewriter.jpg,princess_lindss,image,filler,-1:57,
403,Always a wonderful day with these people,friends.jpg,zachpeters06,image,filler,-1:54,
405,ğŸ˜ğŸ˜ğŸ˜ #beautiful #fantasy #dream,beautiful.jpg,mel_williams1314,image,relevant,-1:48,
406,The view from my lakehouse in the fall is unreal,autumn.jpg,noahandherarc,image,filler,-1:45,
407,Catching the moon in my hands â¤ï¸,moon.jpg,gracieeeeee82,image,relevant,-1:42,
408,My sister did the COOLEST thing this weekend!! #sharks #scary,shark_woman.jpg,sassystar75,image,relevant,-1:39,
409,Baking day,cupcakes.jpg,kitty.z,image,filler,-1:36,
410,he's the cutest thing I've ever seen,beachpuppy.jpg,emememily,image,filler,-1:30,
411,This is so cool!!,cellsunset.jpg,sam-I-am,image,relevant,-1:27,
412,I want one so badddd,bird-lion.jpg,andrewthomas_,image,relevant ,-1:24,
413,I love my puppy :),german_sheppard.jpg,bey-hive-4eva,image,filler,-1:21,
414,Sunset â¤ï¸,sunset1.jpg,goaliegirl,image,filler,-1:18,
415,Artsy #halfaface,halfface.jpg,joshradinnn,image,relevant ,-1:15,
416,School can be fun lol,class.jpg,soccergirl16,image,filler,-1:12,
417,Zoomed in with my camera on this bee! So cool,bee.jpg,habbey113,image,relevant,-1:09,
418,CRAZY!!!,shark.jpg,king_corey,image,relevant,-1:33,
419,My brother can do anything lol!,headstand.jpg,princess_lindss,image,filler,-1:06,
420,Fird meal on vacation and it's a good one!,burger.jpg,mine-craft313,image,filler,-1:03,
421,Just an average day,average.jpeg,Claire.cuddlybear,image,relevant,-1:01,
422,Hey Look!,eiffel.jpg,arihearts,image,filler,-0:57,
423,What do y'all think?  ,haircut.jpeg,bball_guy,image,filler,-0:54,
424,Dad's new car ğŸ˜,money.jpeg,asherballer,image,filler,-0:51,
425,No makeup :),makeup.jpeg,candyqueen67,image,relevant,-0:48,
426,Just Chillin ;),young.jpeg,dannyboii,image,relevant,-0:45,
427,Up close and personal ,red.jpeg,ella_vaderrr,image,filler,-0:42,
428,Boo!,hat.jpeg,cool.kid5386,image,relevant,-0:39,
429,Can you believe my back yard right now!?,sky.jpeg,DylanCrazzzzzy,image,relevant,-0:36,
430,Well this is neat :),neat.jpeg,emmaaaaa,image,filler,-0:33,
431,Do you wanna build a snowman?,buildasnow.jpg,itsmelucy,image,filler,-0:30,
432,Peaceful.,girlandflower.jpg,cupcake25,image,relevant,-0:27,
433,No idea when did my brother take this picture.,garlands.jpg,rider_hannah_07,image,relevant,-0:24,
434,Spring is here.,spring.jpg,k.r.h345,image,filler,-0:21,
435,Fluffy!!,cat.jpg,shellypuppy101,image,filler,-0:18,
436,Miss you.,missyou.jpg,triple-threat,image,filler,-0:15,
441,:) good morning,polaroids.jpg,princess_lindss,image,relevant,-0:23,
442,cool photagraphy ,sunset.jpeg,noahandherarc,image,relevant,-0:37,
444,legend,shark.jpg,sam-I-am,image,relevant,-0:55,
445,#nofilter,blackandwhite.jpg,bey-hive-4eva,image,relevant,-0:10,
446,Playing mario kart with my friends ğŸ˜ğŸ,nintendo.jpg,dannyboii,cyberbullying,neutral,-1:10,
447,ğŸ’— my new school supplies,highlighters.jpg,jasmine_1110,cyberbullying,neutral,-1:09,
448,"just hanging out #bffs @<a href=""https://test.learnlove.life/user/k.r.h345"">Keith Hernandez</a>",jeans.jpg,sammi_bautistaxx,cyberbullying,neutral,-1:08,
449,Come see our play this weekend!! DM me for tickets.,theater.jpg,triple-threat,cyberbullying,neutral,-1:07,
450,my motto ğŸ–¤ğŸ–¤ğŸ–¤,blackboard.jpg,princess_lindss,cyberbullying,neutral,-1:59,
451,So excited for Halloween ğŸƒ,halloween.jpg,peytonpope_xx,cyberbullying,neutral,-1:58,
454,new selfie lemme know if its any good,newselfie.jpeg,ethan-the-man,cyberbullying,neutral,-1:53,
455,It's my Birthday ğŸğŸ‚,balloons.jpg,dyliegrill,cyberbullying,neutral,-1:20,
456,In the big apple!,nyc.jpg,kitty.z,cyberbullying,neutral,-1:19,
457,Always works like a charm ğŸ¦,icecream.jpg,itsmelucy,cyberbullying,neutral,-1:26,
458,At my first concert!! #music,concert.jpg,alexa.garcia,cyberbullying,neutral,-1:25,
459,squad pic ğŸ˜˜,squad.jpg,rosie_pris,cyberbullying,neutral,-1:46,
460,Always a team effort at summer camp! ğŸ’ª,teameffort.jpg,emmaaaaa,cyberbullying,neutral,-1:47,